date,utm_source,utm_medium,utm_campaign,cost
2023-03-01T09:16:57,google,cpc,virtual_reality_workshop,238
2023-03-02T12:48:25,google,cpc,virtual_reality_workshop,164
2023-03-03T13:39:30,google,cpc,virtual_reality_workshop,240
2023-03-04T16:42:54,google,cpc,virtual_reality_workshop,167
2023-03-05T03:58:19,google,cpc,virtual_reality_workshop,268
2023-03-06T06:42:34,google,cpc,virtual_reality_workshop,126
2023-03-07T11:53:16,google,cpc,virtual_reality_workshop,191
2023-03-08T12:14:34,google,cpc,virtual_reality_workshop,165
2023-03-09T20:55:36,google,cpc,virtual_reality_workshop,121
2023-03-10T07:38:06,google,cpc,virtual_reality_workshop,122
2023-03-11T10:26:15,google,cpc,virtual_reality_workshop,188
2023-03-12T02:19:37,google,cpc,virtual_reality_workshop,132
2023-03-13T19:02:06,google,cpc,virtual_reality_workshop,275
2023-03-14T22:01:42,google,cpc,virtual_reality_workshop,292
2023-03-15T12:53:55,google,cpc,virtual_reality_workshop,198
2023-03-16T10:07:04,google,cpc,virtual_reality_workshop,122
2023-03-17T09:08:25,google,cpc,virtual_reality_workshop,150
2023-03-18T22:29:31,google,cpc,virtual_reality_workshop,250
2023-03-19T19:35:03,google,cpc,virtual_reality_workshop,257
2023-03-20T05:38:03,google,cpc,virtual_reality_workshop,146
2023-03-21T15:17:37,google,cpc,virtual_reality_workshop,266
2023-03-22T10:39:16,google,cpc,virtual_reality_workshop,134
2023-03-23T10:20:50,google,cpc,virtual_reality_workshop,238
2023-03-24T00:39:13,google,cpc,virtual_reality_workshop,104
2023-03-25T15:12:04,google,cpc,virtual_reality_workshop,167
2023-03-26T22:56:34,google,cpc,virtual_reality_workshop,212
2023-03-27T09:41:11,google,cpc,virtual_reality_workshop,118
2023-03-28T20:57:25,google,cpc,virtual_reality_workshop,103
2023-03-29T21:08:34,google,cpc,virtual_reality_workshop,177
2023-03-30T05:47:00,google,cpc,virtual_reality_workshop,190
2023-03-31T12:32:21,google,cpc,virtual_reality_workshop,101
2023-04-01T18:33:44,google,cpc,virtual_reality_workshop,179
2023-04-02T05:20:53,google,cpc,virtual_reality_workshop,130
2023-04-03T03:35:08,google,cpc,virtual_reality_workshop,207
2023-04-04T17:34:33,google,cpc,virtual_reality_workshop,237
2023-04-05T06:17:18,google,cpc,virtual_reality_workshop,210
2023-04-09T18:25:52,tg,social,game_dev_crash_course,165
2023-04-10T09:47:25,tg,social,game_dev_crash_course,142
2023-04-11T02:27:00,tg,social,game_dev_crash_course,268
2023-04-12T01:39:13,tg,social,game_dev_crash_course,144
2023-04-13T11:34:54,tg,social,game_dev_crash_course,248
2023-04-14T19:26:52,tg,social,game_dev_crash_course,181
2023-04-15T03:05:19,tg,social,game_dev_crash_course,241
2023-04-16T16:43:44,tg,social,game_dev_crash_course,174
2023-04-17T15:56:04,tg,social,game_dev_crash_course,180
2023-04-18T18:38:38,tg,social,game_dev_crash_course,189
2023-04-19T09:41:54,tg,social,game_dev_crash_course,120
2023-04-20T09:31:09,tg,social,game_dev_crash_course,283
2023-04-21T07:11:18,tg,social,game_dev_crash_course,108
2023-04-22T02:14:44,tg,social,game_dev_crash_course,226
